School Name,CanopyID,Nominator Org (from Nominations)
SPARK School at Kyrene de las Manitas,355,ASU Mary Lou Fulton Teachers College
Stockton Elementary School,356,Kansas Can School Redesign Project
Tacoma School of the Arts,357,Getting Smart
Tahoe Expedition Academy,358,Open Way Learning
Technology Leadership High School,359,"Future Focused Education,Future Focused Education"
The Center for Advanced Research and Technology (CART),360,Transcend
The Net: Central City,361,"Big Picture Learning,YouthForce Nola,Big Picture Learning"
The Springfield Renaissance School,362,Transcend
Tri-County Early College High School,363,Open Way Learning
University Academy Upper School,364,Getting Smart
Valley Day School,365,EdSurge
Van Ness Elementary School,366,"Transcend,Transcend"
Vaux Big Picture High School,367,"Big Picture Learning,Big Picture Learning"
Verdi EcoSchool,368,Education Reimagined
Vista Grande Charter High School,369,NACA Inspired Schools Network
Waring School,370,Next Generation Learning Challenges
Washtenaw Alliance for Virtual Education (WAVE),371,Education Evolving
Welte Education Center,372,Colorado Education Initiative
Wickliffe High School,373,CAST
Winchester Thurston School,374,KnowledgeWorks
Young Women's College Preparatory Academy,375,Getting Smart
Young Women's STEAM Research and Preparatory Academy,376,Getting Smart
Bard High School Early College - Manhattan,377,Transcend
Wilder High School,378,Transcend
Zeta Bronx 1 Elementary,379,Transcend
Southeast Area Technical High School (SEA-TECH),380,Open Way Learning
Olympic High School,381,"Open Way Learning,A Revolution in Education"
Next STEP High,382,"Educate Maine,Center on Reinventing Public Education"
Oxford Virtual Academy,383,MiCoOp
Gull Lake Virtual Partnership,384,MiCoOp
Woods Learning Center,385,Education Evolving
"School of Industrial Design, Engineering and Art",386,A Revolution in Education
Madrona Elementary,387,The Learning Accelerator
Frederick County Middle School,388,Chan Zuckerberg Initiative
Central Vermont Career Center,389,Vermont Agency of Education
River Bend Career & Technical Center,390,Vermont Agency of Education
Bellows Free Academy,391,Vermont Agency of Education
Putney School,392,Vermont Learning for the Future
Randolph Union High School,393,Vermont Agency of Education
Hazen Union High School,394,Vermont Agency of Education
Missisquoi Valley Union Middle and High School,395,Vermont Agency of Education
Quest Academy,396,ExcelinEd
Williams Elementary School,397,Chan Zuckerberg Initiative
Sam Houston Collegiate Preparatory Academy,398,Empower Schools
Hilton Head Christian Academy,399,Fielding International
Legacy Prep,400,"NewSchools Venture Fund,NewSchools Venture Fund"
University Charter School,401,"NewSchools Venture Fund,NewSchools Venture Fund"
i3 Academy,402,"NewSchools Venture Fund,NewSchools Venture Fund"
Desert Spirit School,403,Digital Promise
Palo Verde Elementary School,404,Center for the Future of Arizona
Western School of Science and Technology,405,Center for the Future of Arizona
Bioscience High School,406,Center for the Future of Arizona
Batesville Junior High School,407,Arkansas Team Digital
Learn4Life Inglewood - Alta Vista Innovation High,408,Aurora Institute
Felicitas and Gonzalo Mendez High,409,Learning Policy Institute
CHIME Institute's Schwarzenegger Community,410,The Center for Learner Equity
Tomorrow's Leadership Collaborative (TLC) Charter,411,"The Center for Learner Equity,The Center for Learner Equity"
Renaissance Arts Academy,412,"The Center for Learner Equity,Center on Reinventing Public Education"
Audeo Charter School II,413,The Center for Learner Equity
Crete Academy,414,Camelback Ventures
Yu Ming Charter School,415,"Diverse Charter Schools Coalition,NewSchools Venture Fund"
Chrysalis Charter School,416,Education Evolving
Grant Beacon Middle School,417,Empower Schools
Kepner Beacon Middle School,418,Empower Schools
Escuela Valdez,419,Empower Schools
McGlone Academy,420,The Learning Accelerator
Great Oaks Bridgeport,421,Barr Foundation
Inspired Teaching Demonstration Public Charter School,422,WestEd
Ballou Senior High School,423,Transcend
Anacostia High School,424,Transcend
Promise Academy,425,EmpowerK12
Center City Congress Heights,426,EmpowerK12
Eden Park Elementary School,427,Fielding International
City Charter High School,428,"A+ Schools,Center on Reinventing Public Education"
The Workshop School,429,A Revolution in Education
Building 21 Philadelphia,430,A Revolution in Education
The U School,431,A Revolution in Education
Charles Page High School,432,Oklahoma Department of Education
The Urban Assembly School for Green Careers,433,Education Evolving
Comp Sci.High,434,"NewSchools Venture Fund,NewSchools Venture Fund"
Pelham Gardens Middle School,435,Robin Hood Learning + Technology Fund
PS 76 The Bennington School,436,Robin Hood Learning + Technology Fund
Community Roots Charter School,437,"The Center for Learner Equity,Transcend,Transcend"
PS 206 Jose Celso Barbosa,438,Achievement Network
Jasper High School,439,Arkansas Team Digital
The Museum School of Avondale Estates,440,Diverse Charter Schools Coalition
Clearmont Elementary,441,Branching Minds
Noblesville High School,442,Indiana Department of Education
Rooted School Indianapolis,443,"The Mind Trust,Rooted School Foundation,NewSchools Venture Fund"
PilotED Bethel Park,444,"Camelback Ventures,NewSchools Venture Fund"
Lewisburg Elementary,445,Kentucky Department of Education: Office of Continuous Improvement and Support
Eminence High School,446,Kentucky Department of Education: Office of Continuous Improvement and Support
Mālama Honua Public Charter School,447,State Public Charter School Commission
"Ke Kula ʻo Samuel M. Kamakau, LPCS",448,State Public Charter School Commission
"Ke Kula ʻo Nāwahīokalaniʻōpuʻu Iki, LPCS",449,State Public Charter School Commission
Lycée Français de la Nouvelle Orléans,450,Diverse Charter Schools Coalition
Bricolage Academy,451,"Diverse Charter Schools Coalition,NewSchools Venture Fund"
Nokomis Regional High,452,"Great Schools Partnership,Center on Reinventing Public Education"
Mattanawcook Junior High School,453,Maine Curriculum Leaders Association
Ella Burr Elementary,454,Maine Curriculum Leaders Association
Uxbridge High School,455,The Learning Accelerator
High School for the Recording Arts,456,Fielding International
"Dził Ditł'ooi School of Empowerment, Action, and Perseverance (DEAP)",457,NACA Inspired Schools Network
The Albuquerque Sign Language Academy,458,"Education Resources Consortium,Center on Reinventing Public Education"
Newport High School,459,New Hampshire Learning Initiative
Salem High School (NH),460,New Hampshire Learning Initiative
Dixon School,461,Montana Office of Public Instruction
Spring Grove School,462,Minnesota Learner-Centered Network
Minnesota Center for Advanced Professional Studies,463,Minnesota Learner-Centered Network
Level Up Academy,464,Minnesota Learner-Centered Network
Paladin Career and Technical High School,465,Minnesota Learner-Centered Network
The Forest School,466,"Transcend,Mastery Transcript Consortium,Mastery Transcript Consortium"
KM Global,467,Next Generation Learning Challenges
Da Vinci Communications,468,Moonshot EdVentures
Da Vinci Science,469,Moonshot EdVentures
Da Vinci Design,470,Moonshot EdVentures
Woodstock Union Middle/High School,471,Vermont Agency of Education
Burlington City & Lake Semester,472,Vermont Learning for the Future
Winooski Middle High School,473,"UP for Learning,Vermont Learning for the Future,Mastery Transcript Consortium,Vermont Agency of Education,Barr Foundation"
EdVisions Off Campus School,474,Education Evolving
Link Learning,475,MiCoOp
Wish Community School,476,"The Center for Learner Equity,The Center for Learner Equity"
Paramount Brookside,477,The Center for Learner Equity
West Michigan Virtual Academy,478,MiCoOp
Central Queens Academy - Middle School,479,Diverse Charter Schools Coalition
Manara Leadership Academy,480,Achievement Network
Arlington STEM Academy,481,Achievement Network
Irving Elementary,482,Achievement Network
Detroit Prep,483,"Diverse Charter Schools Coalition,NewSchools Venture Fund"
Exploration High School,493,"Fielding International,Fielding International"
Tindley Summit Academy,494,The Mind Trust
Revolution School,495,"Next STEP High,Transcend"
PS 13 Clement C Moore,497,Robin Hood Learning + Technology Fund
Wilder Middle School,498,Clayton Christensen Institute
Village High School,499,"Clayton Christensen Institute,The Learning Accelerator,Clayton Christensen Institute"
Innovations Early College High School,500,Clayton Christensen Institute
Launch High,501,Mastery Transcript Consortium
Liberty Academy,502,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Montessori Adolescent Program,503,Mastery Transcript Consortium
DREAM Charter School,504,Transcend
Brooklyn Free School,505,Transcend
Red Bridge,506,Transcend
Mesita Elementary,507,Transcend
ARISE High,508,"Transcend,Rogers Family Foundation,Transcend"
Winton Woods High School,509,Transcend
Creativity Challenge Community,510,"Transcend,Transcend"
Nyos Charter School,511,"Transcend,Texas Public Charter Schools Association"
Long-View Learning,512,Transcend
Momentous School,513,Transcend
Forest Freedom School,514,Transcend
St. Paul School of Northern Lights,515,Transcend
George Washington Elementary,516,Transcend
Career Academy High School,517,Indiana Department of Education
Richland Two Institute of Innovation (R2i2),518,Open Way Learning
PS 86 Kingsbridge Heights,519,Robin Hood Learning + Technology Fund
Penrose Elementary School,520,Colorado Education Initiative
Middle Park High School,521,Colorado Education Initiative
Yampa Valley High School,522,Colorado Education Initiative
Elevate Academy Caldwell,523,"Bluum,NewSchools Venture Fund"
Slope School,524,Clayton Christensen Institute
Charter School of San Diego,525,Clayton Christensen Institute
Crossroads FLEX,526,Clayton Christensen Institute
Springs Studio for Academic Excellence,527,Clayton Christensen Institute
KIPP Philadelphia Preparatory Academy,528,Center for Black Educator Development
Brown County High School,529,Indiana Department of Education
Helen S Dunn Elementary School,530,Penobscot River Educational Partnership
Arsenal Technical High School,531,Indiana Department of Education
Cabot School,532,"Vermont Agency of Education,Mastery Transcript Consortium,Mastery Transcript Consortium"
Turrill Elementary School,534,MiCoOp
CLK Engage at CLK Elementary School,535,"Horizons Alternative Education School,MiCoOp,MiCoOp"
Mead Senior High School,536,Mastery Transcript Consortium
Northern Cass High School,537,"Mastery Transcript Consortium,KnowledgeWorks"
Grayson School,538,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Enosburg Falls Junior/Senior High School,539,"Mastery Transcript Consortium,Mastery Transcript Consortium"
The Delta School,540,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Clark Street Community School,541,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Utah Career Path High School,542,Utah State Board of Education
Milton Senior High School,543,UP for Learning
Brightworks,544,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Acton Academy Venice Beach,545,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Rogers New Technology High School,547,Office of Innovation for Education in Arkansas
Phoenix Modern,549,A for Arizona
Gowan Science Academy,550,A for Arizona
Tanque Verde High School,551,A for Arizona
Arabia Mountain High School - Academy of Engineering- Medic,552,GreatSchools
Ivy Academy Inc.,554,Tennessee Charter School Center
Grayson High School,555,GreatSchools
IDEA Frontier College Preparatory,556,GreatSchools
Young Women's Preparatory Academy,558,GreatSchools
Holladay Intermediate Magnet School,559,A for Arizona
Veterans Memorial Early College H S,560,GreatSchools
Valle Verde Early College H S,561,GreatSchools
Salem Academy Charter School,562,GreatSchools
Jimmy Carter Early College High School,563,GreatSchools
Phillips Academy,564,"Mastery Transcript Consortium,Mastery Transcript Consortium"
RISE Academy,565,Mastery Transcript Consortium
Sequoyah School,566,Mastery Transcript Consortium
Springhouse Community School,567,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Swiftwater Alternative High School,568,"Mastery Transcript Consortium,Mastery Transcript Consortium"
The Sycamore School,569,"Mastery Transcript Consortium,Mastery Transcript Consortium"
Two Rivers School,570,Mastery Transcript Consortium
Utah Schools for the Deaf and the Blind,571,Mastery Transcript Consortium
Black Mother's Forum Microschool,572,"Center on Reinventing Public Education,Transcend"
Southern Nevada Urban Micro Academy ,573,Center on Reinventing Public Education
Dayspring Academy,575,Center on Reinventing Public Education
Conductive Education Center of Orlando,576,Center on Reinventing Public Education
North Florida School of Special Education,577,Center on Reinventing Public Education
Jacksonville School for Autism,578,Center on Reinventing Public Education
Chautauqua Charter School,579,Center on Reinventing Public Education
My Reflection Matters Village,580,Center on Reinventing Public Education
Vimenti School,581,Center on Reinventing Public Education
Bridges Academy,582,Center on Reinventing Public Education
White River Valley Middle School,583,"Vermont Agency of Education,Vermont Agency of Education"
Coquillard Elementary School,584,Empower Schools
Beta Academy,585,Texas Public Charter Schools Association
Foundation School of Autism - San Antonio,586,Texas Public Charter Schools Association
Asu Preparatory Academy Digital,587,The Learning Accelerator
Texas Tech University K-12,588,The Learning Accelerator
Personalized Learning Preparatory at Sam Houston,589,The Learning Accelerator
CityLab High School,591,The Learning Accelerator
Nazareth Prep,593,A+ Schools
A Vito Martinez Middle School,594,The Learning Innovation Catalyst
The Williamsburg High School of Art and Technology,595,"The Learning Innovation Catalyst,Competency Collaborative"
Kennelly School,596,The Learning Innovation Catalyst
School 9 - Dr. Martin Luther King Jr.,597,The Learning Innovation Catalyst
The Exploris School,598,A Revolution in Education
Coatimundi Middle School,600,Center for the Future of Arizona
New Harmony High Institute,601,"The Learning Accelerator,Transcend"
Highlander Elementary Charter,602,The Learning Accelerator
360 High School,603,The Learning Accelerator
The 1881 Institute,604,Transcend
8 Million Stories,605,Transcend
Build UP,606,Transcend
La Luz,607,Transcend
Legacy Classical Christian Academy,608,Transcend
My Tech High,609,Transcend
Portal Schools,610,Transcend
Samuel Everett School of Innovation,611,Transcend
Unidos Homeschool Cooperative,612,Transcend
Wild Rose Montessori,613,Transcend
Gary Middle College,614,Center on Reinventing Public Education
Oceti Sakowin Educational Learning Center,615,Transcend
Katahdin Middle/High School,616,Maine Department of Education
The Innovation Center of St. Vrain Valley Schools,617,"The Learning Accelerator,Transcend"
Vista Innovation and Design Academy,619,The Learning Accelerator
Atlas Public Schools,620,"NewSchools Venture Fund,NewSchools Venture Fund"
Da Vinci Connect,621,"NewSchools Venture Fund,NewSchools Venture Fund"
Georgia Fugees Academy Charter School,622,"NewSchools Venture Fund,NewSchools Venture Fund"
Dallas Hybrid Preparatory at Stephen J. Hay,623,"NewSchools Venture Fund,NewSchools Venture Fund"
La Promesa,624,"NewSchools Venture Fund,NewSchools Venture Fund"
Lumen High School,625,"NewSchools Venture Fund,NewSchools Venture Fund"
Magic City Acceptance Academy,626,"NewSchools Venture Fund,NewSchools Venture Fund"
Phoenix International Academy,627,"NewSchools Venture Fund,NewSchools Venture Fund"
Rainier Valley Leadership Academy,628,NewSchools Venture Fund
Brooklyn International High School,629,Competency Collaborative
Crotona International High School,630,Competency Collaborative
South Bronx Academy for Applied Media,631,Competency Collaborative
Marsh Avenue Expeditionary Learning School,632,Competency Collaborative
Urban Assembly Unison School,633,Competency Collaborative
Hunter's Point Community Middle School,634,Competency Collaborative
STREAM School at Hamilton Middle School,635,MiCoOp
Waxpool Elementary,636,PBLWorks
Goshen Post Elementary,637,PBLWorks
Prospect Academy,638,Moonshot EdVentures
"Roxbury Roots Montessori, Inc.",639,Entangled Solutions
Valor Preparatory Academy of Arizona,640,Evergreen Education Group
University Heights Secondary School - Bronx Community College,641,Fannie Lou Hamer Freedom High School
Arturo A. Schomburg Satellite Academy Bronx,642,Fannie Lou Hamer Freedom High School
Dekalb Brilliance Academy,643,"Transcend,NewSchools Venture Fund"
Compass Academy,646,New Tech Network
Ignite Institute,647,Kentucky Department of Education
Praxium Mastery Academy,648,Idaho State Department of Education - Idaho Mastery Education Network
Portland Middle School,649,MiCoOp
Hamilton High School,650,MiCoOp
Washington Middle School,651,MiCoOp
Portland High School,652,MiCoOp
Dolores Huerta Middle School,653,KnowledgeWorks
Colchester High School,654,Vermont Agency of Education
Kilombo Academic and Cultural Institute,655,Disruptive Partners
Lucama Elementary,656,Public Impact
David H. Petree Elementary,657,Public Impact
Ross Elementary,658,Public Impact
St. Patrick Catholic School,659,Alliance for Catholic Education
One World Middle School,660,Deeper Learning Equity Fellowship
Great Minds Virtual,661,228 Accelerator
Capitol Learning Academy,662,4.0 Schools
Global Citizens Public Charter School,663,"4.0 Schools,NewSchools Venture Fund"
Phoenix International School of the Arts,664,
Capital Experience Lab,665,4.0 Schools
I Dream Public Charter School,666,"4.0 Schools,NewSchools Venture Fund"
Capital Village Public Charter School,667,4.0 Schools
Heartwood Agile Learning Center,668,4.0 Schools
Batesburg-Leesville Primary School,669,KnowledgeWorks
Dr. William W. Henderson K-12 Inclusion School,671,The Center for Learner Equity
Tapestry Public Charter School,672,The Center for Learner Equity
Cecilton Elementary School,673,The Center for Learner Equity
Fenway High School,674,The Center for Learner Equity
Odessa High School,675,The Center for Learner Equity
Antrim Elementary School,676,The Center for Learner Equity
Charlotte Central School,677,The Center for Learner Equity
Creative Minds International,678,The Center for Learner Equity
Ruby Bridges Elementary School,679,The Center for Learner Equity
Bennett Day School,680,Mastery Transcript Consortium
Windham Woods School,681,Mastery Transcript Consortium
Compass Community Collaborative School,682,Mastery Transcript Consortium
Lighthouse Holyoke,683,"Mastery Transcript Consortium,Center on Reinventing Public Education"
Mastery School of Hawken,684,Mastery Transcript Consortium
Innovation Lab High School,685,Mastery Transcript Consortium
A School Without Walls,686,NewSchools Venture Fund
Academy of Advanced Learning,687,"NewSchools Venture Fund,NewSchools Venture Fund"
Alabama Aerospace and Aviation High School,688,NewSchools Venture Fund
Alma Fuerte Public School,689,NewSchools Venture Fund
Altura Preparatory School,690,NewSchools Venture Fund
Aventura Community School,691,NewSchools Venture Fund
Becoming Collegiate Academy,692,"NewSchools Venture Fund,Transcend"
BELIEVE Circle City High School,693,NewSchools Venture Fund
Bostonia Global K-14,694,NewSchools Venture Fund
Breakthrough Charter School,695,NewSchools Venture Fund
Bronx Legacy High School,696,NewSchools Venture Fund
BRICK Achieve Middle School,697,NewSchools Venture Fund
Brooklyn Laboratory Charter School,698,NewSchools Venture Fund
Building 21 Allentown,699,NewSchools Venture Fund
Butler Academy,700,NewSchools Venture Fund
Caliber ChangeMakers Academy,701,NewSchools Venture Fund
Carter G. Woodson College Preparatory Academy,702,NewSchools Venture Fund
Catalyst: Bremerton,703,NewSchools Venture Fund
Compass Rose Harvest,704,NewSchools Venture Fund
Coperni 3,705,NewSchools Venture Fund
Discovery Early College High School,706,NewSchools Venture Fund
Empower Community School,707,NewSchools Venture Fund
Endazhi-Nitaawiging Charter School,708,NewSchools Venture Fund
Gotham Tech,709,NewSchools Venture Fund
Growth Public Schools,710,NewSchools Venture Fund
Hayward Collegiate Charter School,711,NewSchools Venture Fund
High School of Commerce,712,NewSchools Venture Fund
Ignite Middle School,713,NewSchools Venture Fund
Kansas City Girls Prep Academy,714,NewSchools Venture Fund
Las Américas ASPIRA Academy,715,NewSchools Venture Fund
LEEP Dual Language Academy,716,NewSchools Venture Fund
MS 935,717,NewSchools Venture Fund
Marin's Community School,718,NewSchools Venture Fund
McClure Health Science High School,719,NewSchools Venture Fund
Montessori Elementary at Highland Park,720,NewSchools Venture Fund
MS 371 SEED: Harlem,721,NewSchools Venture Fund
Nichols Intermediate Academy of Leadership,722,NewSchools Venture Fund
Oxford Day Academy,723,NewSchools Venture Fund
Phalen Leadership Academy @ 103,724,NewSchools Venture Fund
Pinnacles Prep,725,NewSchools Venture Fund
Rise STEM Academy for Girls,726,NewSchools Venture Fund
Rodriguez Elementary,727,NewSchools Venture Fund
Seckinger High School,728,NewSchools Venture Fund
Solar Preparatory School for Boys,729,NewSchools Venture Fund
The Genius School,730,NewSchools Venture Fund
URBAN ACT Academy,731,"NewSchools Venture Fund,Mindcatcher"
West Dallas STEM School,732,NewSchools Venture Fund
Why Not You Academy,733,NewSchools Venture Fund
THRIVE Community School,734,NewSchools Venture Fund
Acceleration Day and Evening Academy,735,NewSchools Venture Fund
Acceleration Preparatory Academy,736,NewSchools Venture Fund
Achievers Early College Prep Charter School,737,NewSchools Venture Fund
Zeta Bronx Tremont Park Elementary,738,NewSchools Venture Fund
Impact | Commencement Bay Elementary,739,NewSchools Venture Fund
Impact | Salish Sea Elementary,740,"NewSchools Venture Fund,Center on Reinventing Public Education"
Synergy at Fremont Middle School,741,Center for Innovation in Education (C!E)
Elevate Academy Nampa,742,NewSchools Venture Fund
KIPP Beyond Middle School,743,NewSchools Venture Fund
LEAD Charter School,744,NewSchools Venture Fund
Chelsea Opportunity Academy,745,Barr Foundation
Opportunity Academy at Holyoke High School,746,"Barr Foundation,Center on Reinventing Public Education"
Nowell Academy,747,"Center on Reinventing Public Education,Barr Foundation"
Zeta Inwood,748,NewSchools Venture Fund
Zeta Mount Eden,749,NewSchools Venture Fund
Liberty STEAM Charter School,750,NewSchools Venture Fund
Maritime High School,751,NewSchools Venture Fund
The Leadership School,752,NewSchools Venture Fund
University High School,753,NewSchools Venture Fund
Rio Rico High School,754,KnowledgeWorks
Choice Learning Academy,755,Arizona Technology in Education Association
Cibola High School,756,KnowledgeWorks
San Luis High School,757,KnowledgeWorks
Zuni High School,758,Future Focused Education
Aggie Academy,759,The University of North Carolina System
Perry Ingenuity Institute,760,Ohio Department of Education: The Innovation Lab Network
Great Hearts Online,762,The Learning Accelerator
Skyline High School,763,National Indian Education Association
Robert F. Smith STEAM Academy,764,Transcend
Ednovate Virtual Academy,765,NewSchools Venture Fund
Purdue Polytechnic High School - North,766,NewSchools Venture Fund
Purdue Polytechnic High School - South Bend,767,NewSchools Venture Fund
Icon Preparatory School Jacksonville,768,Transcend
Aventuras Forest School,769,Transcend
UP Academy,770,Transcend
Keres Children's Learning Center,771,"Transcend,Transcend"
AIM Academy,772,Transcend
St. Benedict's Preparatory School,773,Transcend
Phoenix Coding Academy,775,Transcend
PXU City,776,Transcend
Anderson Institute of Technology,777,Transcend
EVOLVE Academy,778,Barr Foundation
Oakes Public School,779,KnowledgeWorks
Hartford Area Career and Technology Center,780,Vermont Agency of Education
Bismarck Career Academy and Technical Center,781,KnowledgeWorks
The Primary School,782,Transcend
Margarita Muñiz Academy,783,Barr Foundation
Manchester High School,784,Barr Foundation
Rogers High School,785,Barr Foundation
New School of San Francisco,786,NewSchools Venture Fund
California Area High School,787,Remake Learning Network
Arthur Ashe Charter School,788,The Center for Learner Equity
Langston Hughes Charter Academy,789,The Center for Learner Equity
Champlain Valley Union High School,790,Transcend
Greater Lawrence Technical School,791,Transcend
Kairos Academies,792,"Transcend,Transcend"
Navajo Preparatory School,793,Transcend
Blue School,794,Transcend
The Nueva School,795,Transcend
Perea Elementary School,796,Mindcatcher
Belleville Township High School Alternative Day Program,797,The Learning Accelerator
Codman Academy Charter School,799,Center on Reinventing Public Education