label,tag_2024,tag_2023,tag_2022,tag_2021,tag_2021
Ã  la carte model,practices_a_la_carte,practices_a_la_carte,practices_a_la_carte,a_la_carte,a_la_carte
accommodations provided to all students,practices_accommodations,practices_accommodations,practices_accommodations,accommodations,accommodations
adaptive content,practices_adaptive_content,NA,practices_adaptive_content,adaptive_content,adaptive_content
advancement on mastery,practices_advancement_mastery,practices_advancement_mastery,practices_advancement_mastery,advancement_mastery,advancement_mastery
student advisories,practices_advisories,practices_advisories,practices_advisories,advisories,advisories
flexible assessment schedule,practices_assessment_schedule,NA,NA,assessment_schedule,assessment_schedule
blended learning,practices_blended_learning,practices_blended_learning,practices_blended_learning,blended_learning,blended_learning
career prep and work-based learning,practices_career_prep,practices_career_prep,practices_career_prep,career_prep,career_prep
dialogue circles,practices_circles,NA,NA,circles,circles
community and business partnerships,practices_community_partnerships,practices_community_partnerships,practices_community_partnerships,community_partnerships,community_partnerships
family and community support services,practices_community_supports,practices_community_supports,practices_community_supports,community_supports,community_support
competency/mastery-based education,practices_competency_education,practices_competency_education,practices_competency_education,competency_education,competency_education
competency framework,practices_competency_framework,practices_competency_framework,practices_competency_framework,competency_framework,competency_framework
culturally responsive practices,practices_culturally_responsive,practices_culturally_responsive,practices_culturally_responsive,culturally_relevant,culturally_relevant
data analytics drive instruction,practices_data_instruction,NA,NA,NA,data_instruction
design at the margins,practices_design_margins,NA,NA,NA,design_margins
design thinking process,practices_design_thinking,practices_design_thinking,practices_design_thinking,design_thinking,design_thinking
take home devices,practices_devices_home,NA,NA,NA,devices_home
no tracked classes,practices_no_tracking,practices_elimination_tracking,practices_elimination_tracking,elimination_tracking,elimination_tracking
supports for English Language Learners,practices_ell_supports,NA,NA,NA,ell_supports
enriched virtual model,practices_enriched_virtual,practices_enriched_virtual,practices_enriched_virtual,enriched_virtual,enriched_virtual
design to meet needs of students who have been marginalized,practices_design_marginalized,practices_design_marginalized,practices_design_marginalized,design_equity,equity
commitment to equity in strategic plan,practices_equity_plan,NA,NA,NA,equity_plan
"experiential, work-based & place-based learning",practices_experiential,NA,NA,NA,experiential
flex model,practices_flex,practices_flex,practices_flex,flex,flex
flexible facilities & classroom design,practices_flexible_facilities,practices_flexible_facilities,practices_flexible_facilities,flexible_facilities,flexible_facilities
flexible schedule,practices_flexible_schedule,NA,NA,NA,flexible_schedule
flexible staffing & alternative teaching roles,practices_flexible_staffing,practices_flexible_staffing,practices_flexible_staffing,flexible_staffing,flexible_staffing
flipped classroom,practices_flipped_classroom,practices_flipped_classroom,practices_flipped_classroom,flipped_classroom,flipped_classroom
grading policies focus on mastery,practices_grading_mastery,practices_grading_mastery,practices_grading_mastery,grading_mastery,grading_mastery
supports for students off-track for graduation,practices_graduation_supports,NA,NA,NA,graduation_supports
hiring practices in support of student success,practices_hiring_practices,NA,NA,NA,hiring_practices
supports for immigrants and refugees,practices_immigrants_supports,NA,NA,NA,immigrants_supports
individual rotation,practices_individual_rotation,NA,practices_individual_rotation,individual_rotation,individual_rotation
access to information in multiple formats,practices_information_formats,NA,NA,NA,information_formats
interoperable data from multiple technologies,practices_interoperability,practices_interoperability,practices_interoperability,interoperability,integrated_data
interdisciplinary,practices_interdisciplinary,practices_interdisciplinary,practices_interdisciplinary,interdisciplinary,interdisciplinary
lab rotation,practices_lab_rotation,NA,NA,lab_rotation,lab_rotation
learner agency,practices_learner_agency,NA,NA,NA,learner_agency
individual learner profiles,practices_learner_profiles,NA,practices_learner_profiles,learner_profiles,learner_profiles
individual learning paths,practices_learning_paths,practices_learning_paths,practices_learning_paths,learning_paths,learning_paths
place-based learning,practices_place_based,practices_place_based,practices_place_based,place_based,local_focus
connecting local and global,practices_local_global,NA,NA,NA,local_global
maker/design-centered learning,practices_maker,NA,NA,NA,maker
makerspace,practices_makerspace,practices_makerspace,practices_makerspace,makerspace,makerspace
assessments for career readiness,practices_assessments_career,practices_assessments_career,practices_assessments_career,assessments_career,measures_career
measures for school climate,practices_measures_climate,NA,NA,NA,measures_climate
measures for college readiness,practices_measures_college,NA,NA,NA,measures_college
assessments for deeper learning,practices_assessments_deeper,practices_assessments_deeper,practices_assessments_deeper,assessments_deeper,measures_deeper
measures for purpose and agency,practices_measures_purpose,NA,NA,NA,measures_purpose
assessments for social-emotional skills,practices_assessments_sel,practices_assessments_sel,practices_assessments_sel,assessments_sel,measures_sel
mental health services,practices_mental_health,practices_mental_health,practices_mental_health,mental_health,mental_health
1:1 mentoring,practices_mentoring,practices_mentoring,practices_mentoring,mentoring,mentoring
multi-age classrooms,practices_multi_age,practices_multi_age,practices_multi_age,multi_age,multi_age
alternating days,practices_alternating_days,NA,NA,alternating_days,NA
alternating weeks,practices_alternating_weeks,NA,NA,alternating_weeks,NA
anti-racist practices,practices_anti_racist,practices_anti_racist,practices_anti_racist,anti_racist_action,NA
asynchronous online learning,practices_asynchronous_online,NA,NA,asynchronous_online,NA
digital materials,practices_digital_materials,NA,NA,digital_materials,NA
dual credit,practices_dual_credit,NA,practices_dual_credit,dual_credit,NA
dual language programming,practices_dual_language,practices_dual_language,practices_dual_language,dual_language,NA
early college high school,practices_early_college,practices_early_college,practices_early_college,early_college,NA
families can choose instructional modality,practices_families_choose_modality,NA,NA,families_choose_modality,NA
families as co-leaders,practices_colead_family,practices_families_leaders,practices_families_leaders,families_leaders,NA
at-home learning supports,practices_family_learning,NA,NA,family_learning,NA
fully in-person,practices_fully_in_person,NA,NA,fully_in_person,NA
fully remote,practices_fully_remote,NA,NA,fully_remote,NA
half days,practices_half_days,NA,NA,half_days,NA
hiring for equity and inclusion values,practices_hiring_equity,practices_hiring_equity,practices_hiring_equity,hiring_equity,NA
hybrid,practices_hybrid,NA,practices_hybrid,hybrid,NA
students earn industry credentials,practices_industry_credentials,practices_industry_credentials,practices_industry_credentials,industry_credentials,NA
students meet industry professionals,practices_meet_professionals,NA,NA,meet_professionals,NA
adult wellness/SEL,practices_adult_wellness,practices_adult_wellness,NA,NA,NA
all courses designed for inclusion,practices_inclusion,practices_all_courses_designed_for_inclusion,NA,NA,NA
assessments for agency and self-directed learning,practices_assessments_agency,practices_assessments_agency,NA,NA,NA
bilingual assessments,practices_assessments_bilingual,practices_assessments_bilingual,NA,NA,NA
co-leadership,practices_coleadership,practices_co_leaders,NA,NA,NA
community-based organizations as co-leaders,practices_colead_cbo,practices_community_leaders,NA,NA,NA
heritage language course(s),practices_heritage,practices_heritage_language,NA,NA,NA
industry-based partners as co-leaders,practices_colead_industry,practices_industry_leaders,NA,NA,NA
other co-leaders,NA,practices_other_leaders,NA,NA,NA
translanguaging,practices_translanguaging,practices_translanguaging,NA,NA,NA
disaggregated data on student participation,practices_disaggregated_participation_data,practices_disaggregated_participation_data,practices_disaggregated_participation_data,NA,NA
multi-tiered system of support (MTSS) in academics,practices_mtss_academics,practices_mtss_academics,practices_mtss_academics,NA,NA
students as co-leaders,practices_colead_students,practices_students_leaders,practices_students_leaders,NA,NA
all virtual pathway,practices_virtual_pathway,NA,practices_virtual_pathway,NA,NA
peer to peer support,practices_peer_to_peer,practices_peer_to_peer,practices_peer_to_peer,peer_to_peer,NA
print materials,practices_print_materials,NA,NA,print_materials,NA
remote accommodations,practices_remote_accommodations,NA,NA,remote_accommodations,NA
rotating or staggered schedules,practices_rotating_schedule,NA,NA,rotating_schedule,NA
social justice focus,practices_social_justice,practices_social_justice,practices_social_justice,social_justice,NA
synchronous online learning,practices_synchronous_online,NA,NA,synchronous_online,NA
teachers can choose instructional modality,practices_teachers_choose_modality,NA,NA,teachers_choose_modality,NA
teachers as co-leaders,practices_colead_teachers,practices_teachers_leaders,practices_teachers_leaders,teachers_leaders,NA
trauma-informed practices,practices_trauma_informed,practices_trauma_informed,practices_trauma_informed,trauma_informed,NA
tutoring,practices_tutoring,practices_tutoring,practices_tutoring,tutoring,NA
virtual enrichment activities,practices_virtual_enrichment,NA,NA,virtual_enrichment,NA
open educational resources,practices_oer,NA,NA,NA,oer
expanded open hours,practices_expanded_open_hours,practices_expanded_open_hours,practices_expanded_open_hours,open_hours,open_hours
multiple opportunities to demonstrate mastery,practices_opportunities_mastery,practices_opportunities_mastery,practices_opportunities_mastery,opportunities_mastery,opportunities_mastery
extended learning opportunities,practices_extended_learning,practices_extended_learning,practices_extended_learning,extended_learning,outside_credit
project-based learning,practices_pbl,practices_pbl,practices_pbl,pbl,pbl
performance based assessment,practices_performance_assessment,practices_performance_assessment,practices_performance_assessment,performance_assessment,performance_assessment
physical well being services,practices_physical_well_being,practices_physical_well_being,practices_physical_well_being,physical_well_being,physical_health
portfolios and public exhibitions of student work,practices_portfolios_exhibitions,NA,practices_portfolios_exhibitions,portfolios_exhibitions,portfolios
portfolios and public exhibitions of student work,practices_portfolios_exhibitions,NA,practices_portfolios_exhibitions,portfolios_exhibitions,exhibitions
supports for high-poverty and homeless students,practices_poverty_supports,NA,NA,NA,poverty_supports
projects as primary method of learning,practices_projects_primary,NA,NA,projects_primary,projects_primary
high quality instructional materials,practices_quality_materials,NA,NA,NA,quality_materials
real time data use to drive instruction,practices_real_time_data,NA,NA,real_time_data,real_time_data
real-world problem solving,practices_real_world,NA,practices_real_world,real_world,real_world
reallocation of resources for those most in need,practices_reallocation_resources,practices_reallocation_resources,practices_reallocation_resources,reallocation_resources,reallocation_resources
expanded measures of success,practices_expanded_success,NA,practices_expanded_success,expanded_success,redefining_success
relevant and contextualized learning assignments,practices_relevant_learning,NA,NA,NA,relevant_learning
restorative practices,practices_restorative,practices_restorative,practices_restorative,restorative_practice,restorative_practice
rigorous coursework for all students,practices_rigorous_coursework,NA,NA,NA,rigorous_coursework
social-emotional learning,practices_sel,NA,NA,sel,sel
SEL curriculum,practices_sel_curriculum,practices_sel_curriculum,practices_sel_curriculum,sel_curriculum,sel_curriculum
SEL integration school-wide,practices_sel_integrated,practices_sel_integrated,practices_sel_integrated,sel_integrated,sel_integrated
commitment to whole child or SEL in strategic plan,practices_sel_plan,NA,NA,NA,sel_plan
service learning,practices_service_learning,practices_service_learning,practices_service_learning,service_learning,service_learning
flexible staffing & infrastructure,practices_staffing_infrastructure,NA,NA,NA,staffing_infrastructure
station rotation,practices_station_rotation,practices_station_rotation,practices_station_rotation,station_rotation,station_rotation
student-led conferences,practices_student_conferences,practices_student_conferences,practices_student_conferences,student_conferences,student_conferences
students access their own data,practices_student_data,practices_student_data,practices_student_data,student_data,student_data
student-led goal setting,practices_student_goals,practices_student_goals,practices_student_goals,student_goals,student_goals
self-paced learning,practices_student_pace,practices_student_pace,practices_student_pace,student_pace,student_pace
students develop projects,practices_student_projects,practices_student_projects,practices_student_projects,student_projects,student_projects
universal design for learning,practices_udl,practices_udl,practices_udl,udl,udl
multiple ways to demonstrate mastery,practices_ways_mastery,NA,NA,ways_mastery,ways_mastery
wraparound services & integrated student supports,practices_wraparound,NA,NA,NA,wraparound